"Code ROME";"libellé métier onisep";"lien site onisep.fr";"Lib_ROME_FT";"lien site FT";"transitionEcologique";"transitionEcologiqueDetaillee";"transitionNumerique";"transitionDemographique"
"A1414";"horticulteur / horticultrice";"https://www.onisep.fr/http/redirection/metier/slug/MET.157";"Horticulteur / Horticultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1414";"Non";"";"Non";"Non"
"A1414";"chef / cheffe de cultures légumières";"https://www.onisep.fr/http/redirection/metier/slug/MET.76";"Horticulteur / Horticultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1414";"Non";"";"Non";"Non"
"A1415";"";"";"Marin-pêcheur";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1415";"Non";"";"Non";"Non"
"A1416";"agriculteur / agricultrice";"https://www.onisep.fr/http/redirection/metier/slug/MET.547";"Agriculteur / Agricultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1416";"Non";"";"Non";"Non"
"A1416";"conducteur / conductrice de travaux en entreprises de travaux agricoles";"https://www.onisep.fr/http/redirection/metier/slug/MET.116";"Agriculteur / Agricultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1416";"Non";"";"Non";"Non"
"A1416";"ouvrier / ouvrière agricole";"https://www.onisep.fr/http/redirection/metier/slug/MET.903";"Agriculteur / Agricultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1416";"Non";"";"Non";"Non"
"A1501";"soigneur / soigneuse d'animaux";"https://www.onisep.fr/http/redirection/metier/slug/MET.905";"Soigneur animalier / Soigneuse animalière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1501";"Non";"";"Non";"Non"
"A1502";"maréchal-ferrant / maréchale-ferrante";"https://www.onisep.fr/http/redirection/metier/slug/MET.682";"Maréchal-ferrant / Maréchale-ferrante";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1502";"Non";"";"Non";"Non"
"A1503";"toiletteur / toiletteuse d'animaux";"https://www.onisep.fr/http/redirection/metier/slug/MET.559";"Toiletteur / Toiletteuse d'animaux";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1503";"Non";"";"Non";"Non"
"A1504";"ostéopathe animalier / animalière";"https://www.onisep.fr/http/redirection/metier/slug/MET.7948";"Vétérinaire";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1504";"Non";"";"Non";"Non"
"A1504";"vétérinaire";"https://www.onisep.fr/http/redirection/metier/slug/MET.171";"Vétérinaire";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1504";"Non";"";"Non";"Non"
"B1101";"illustrateur / illustratrice";"https://www.onisep.fr/http/redirection/metier/slug/MET.780";"Artiste plasticien / plasticienne";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1101";"Non";"";"Non";"Non"
"B1101";"artiste graffeur professionnel / artiste graffeuse professionnelle";"https://www.onisep.fr/http/redirection/metier/slug/MET.7834";"Artiste plasticien / plasticienne";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1101";"Non";"";"Non";"Non"
"B1201";"céramiste";"https://www.onisep.fr/http/redirection/metier/slug/MET.309";"Céramiste d'art";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1201";"Non";"";"Non";"Non"
